"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"z:\PROJECTS_FRONTED\vulcanizerapp\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14, 28
"z:\PROJECTS_FRONTED\vulcanizerapp\angular.json", "JSON", 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 102
"z:\PROJECTS_FRONTED\vulcanizerapp\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 6, 2, 45
"z:\PROJECTS_FRONTED\vulcanizerapp\package-lock.json", "JSON", 0, 20490, 0, 0, 0, 0, 0, 0, 0, 1, 20491
"z:\PROJECTS_FRONTED\vulcanizerapp\package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 46
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\address.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app.component.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app.component.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 0, 15, 8, 62
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\app.module.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 4, 60
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\business.service.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 5, 23
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\business.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\confirm\confirm.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\confirm\confirm.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"z:\PROJECTS_FRONTED\vulcanizerapp\src\app\confirm\confirm.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
